control,4000,1,,,29.473,4.879,0,.021874,0,0
control,6000,1,,,27.133,3.650,0,3.792662,0,0
control,6000,2,,,29.159,4.439,0,5.600375,0,0
control,4000,1,,,29.442,5.242,0,.022276,0,0
control,6000,1,,,26.092,3.326,0,3.960255,0,0
control,6000,2,,,28.695,4.062,0,5.607689,0,0
control,8000,1,,,25.414,2.385,0,2.879590,0,0
control,8000,2,,,27.434,6.216,0,4.564399,0,0
control,8000,3,,,27.134,3.670,0,6.043734,0,0
control,10000,1,,,26.021,2.547,0,2.434097,0,0
control,10000,2,,,26.843,3.899,0,3.419961,0,0
control,10000,3,,,27.209,4.076,0,4.818708,0,0
control,10000,4,,,27.733,5.539,0,6.254398,0,0
control,12000,1,,,25.482,2.658,0,2.121128,0,0
control,12000,2,,,32.971,44.833,0,3.299416,0,0
control,12000,3,,,26.563,3.548,0,3.920655,0,0
control,12000,4,,,25.631,3.706,0,5.219700,0,0
control,12000,5,,,31.897,30.432,0,6.470248,5.761134,11.400000
control,14000,1,,,26.883,6.961,0,2.251880,0,0
control,14000,2,,,26.087,3.318,0,2.598354,0,0
control,14000,3,,,25.424,2.761,0,3.615113,0,0
control,14000,4,,,25.723,3.090,0,4.463815,0,0
control,14000,5,,,25.123,3.616,0,5.344280,0,0
control,14000,6,,,25.128,3.484,0,6.299002,17.949398,19.666666
control,16000,1,,,25.623,2.319,0,1.530151,0,0
control,16000,2,,,25.874,2.901,0,2.296846,0,0
control,16000,3,,,25.184,2.836,0,3.346907,0,0
control,16000,4,,,27.931,13.686,0,4.068249,0,0
control,16000,5,,,25.363,3.496,0,4.909100,0,0
control,16000,6,,,26.100,4.905,0,6.080829,.136343,1.000000
control,16000,7,,,26.364,5.304,0,6.481295,33.666892,27.857142
control,4000,1,,,29.192,6.880,0,5.330051,0,0
control,6000,1,,,27.255,3.282,0,3.727567,0,0
control,6000,2,,,29.056,4.385,0,5.998831,0,0
control,8000,1,,,26.423,3.660,0,2.950603,0,0
control,8000,2,,,27.362,4.218,0,4.684126,0,0
control,8000,3,,,28.988,15.990,0,5.858885,0,0
control,10000,1,,,26.870,5.240,0,2.365265,0,0
control,10000,2,,,27.550,6.635,0,3.675283,0,0
control,10000,3,,,25.986,3.393,0,4.803105,0,0
control,10000,4,,,26.917,4.110,0,6.150789,.155129,1.000000
control,12000,1,,,25.025,3.250,0,1.889867,0,0
control,12000,2,,,25.846,3.368,0,3.019178,0,0
control,12000,3,,,31.641,40.309,0,4.027171,0,0
control,12000,4,,,27.410,7.510,0,5.248315,0,0
control,12000,5,,,25.213,2.978,0,6.249312,2.809539,7.600000
control,14000,1,,,25.499,3.032,0,1.683158,0,0
control,14000,2,,,26.071,2.781,0,2.798139,0,0
control,14000,3,,,26.994,10.190,0,3.511115,0,0
control,14000,4,,,25.525,3.440,0,4.286751,0,0
control,14000,5,,,25.833,4.870,0,5.636632,0,0
control,14000,6,,,25.593,3.356,0,6.382719,22.256310,22.000000
control,16000,1,,,26.244,3.683,0,1.601615,0,0
control,16000,2,,,26.175,3.607,0,2.458114,0,0
control,16000,3,,,25.419,2.900,0,3.120996,0,0
control,16000,4,,,25.871,3.222,0,4.232086,0,0
control,16000,5,,,25.628,3.998,0,4.656021,0,0
control,16000,6,,,25.368,3.146,0,5.484785,.046746,.333333
control,16000,7,,,24.619,3.141,0,6.223697,29.986325,26.428571
control,4000,1,,,29.719,5.642,0,5.385667,0,0
control,6000,1,,,26.920,5.056,0,3.904418,0,0
control,6000,2,,,31.344,13.561,0,5.683663,0,0
control,8000,1,,,26.044,3.131,0,3.149663,0,0
control,8000,2,,,28.264,6.227,0,4.591739,0,0
control,8000,3,,,28.130,12.697,0,6.194731,0,0
control,10000,1,,,25.444,2.833,0,2.295321,0,0
control,10000,2,,,26.667,3.866,0,3.658505,0,0
control,10000,3,,,27.540,4.965,0,4.809731,0,0
control,10000,4,,,26.758,4.314,0,6.194393,0,0
control,12000,1,,,27.381,5.226,0,1.846906,0,0
control,12000,2,,,25.617,3.504,0,3.172926,0,0
control,12000,3,,,26.362,4.026,0,4.357303,0,0
control,12000,4,,,25.977,3.863,0,5.394539,0,0
control,12000,5,,,25.567,3.188,0,6.255964,4.503065,7.600000
control,14000,1,,,26.539,4.149,0,1.818793,0,0
control,14000,2,,,25.922,3.411,0,2.786324,0,0
control,14000,3,,,26.173,3.754,0,3.797573,0,0
control,14000,4,,,27.083,8.676,0,4.606539,0,0
control,14000,5,,,24.905,3.125,0,5.896572,0,0
control,14000,6,,,25.302,2.992,0,6.543986,23.789110,22.666666
control,16000,1,,,25.672,2.449,0,1.505403,0,0
control,16000,2,,,25.941,3.176,0,2.741539,0,0
control,16000,3,,,25.292,2.982,0,3.173343,0,0
control,16000,4,,,26.315,8.361,0,4.156939,0,0
control,16000,5,,,24.707,3.511,0,4.989568,0,0
control,16000,6,,,24.354,3.254,0,6.009539,.018947,.166666
control,16000,7,,,24.576,3.326,0,7.059610,31.706079,28.142857
control,4000,1,,,28.353,4.571,0,6.074148,0,0
control,6000,1,,,27.830,4.018,0,4.166054,0,0
control,6000,2,,,28.207,3.959,0,6.047140,0,0
control,8000,1,,,26.699,6.653,0,3.520009,0,0
control,8000,2,,,26.319,3.003,0,4.744056,0,0
control,8000,3,,,27.308,4.336,0,6.024244,0,0
control,10000,1,,,25.270,2.027,0,2.503828,0,0
control,10000,2,,,27.273,3.820,0,3.951404,0,0
control,10000,3,,,26.597,3.478,0,5.304515,0,0
control,10000,4,,,27.129,5.210,0,6.298787,.146732,2.000000
