Accuracy_capest32_256,8000,1000,10962,10962,25.863,4.754,0,,,
Accuracy_capest32_256,8000,2000,7790,5705,25.863,4.754,0,,,
Accuracy_capest32_256,8000,3000,7790,4669,25.863,4.754,0,,,
Accuracy_capest32_256,8000,4000,7790,3671,25.863,4.754,0,,,
Accuracy_capest32_256,8000,5000,7790,2571,25.863,4.754,0,,,
Accuracy_capest32_256,8000,6000,7858,1927,25.863,4.754,0,,,
Accuracy_capest32_256,8000,7000,7858,1415,25.863,4.754,0,,,
Accuracy_capest32_256,16000,1000,15810,15336,25.863,4.754,0,,,
Accuracy_capest32_256,16000,2000,15810,13742,25.863,4.754,0,,,
Accuracy_capest32_256,16000,3000,15275,12144,25.863,4.754,0,,,
Accuracy_capest32_256,16000,4000,15275,11119,25.863,4.754,0,,,
Accuracy_capest32_256,16000,5000,15876,10670,25.863,4.754,0,,,
Accuracy_capest32_256,16000,6000,15876,9469,25.863,4.754,0,,,
Accuracy_capest32_256,16000,7000,15876,8578,25.863,4.754,0,,,
Accuracy_capest32_256,8000,1000,8316,7841,25.863,4.754,0,,,
Accuracy_capest32_256,8000,2000,8316,6246,25.863,4.754,0,,,
Accuracy_capest32_256,8000,3000,8316,5200,25.863,4.754,0,,,
Accuracy_capest32_256,8000,4000,8316,4146,25.863,4.754,0,,,
Accuracy_capest32_256,8000,5000,8316,3130,25.863,4.754,0,,,
Accuracy_capest32_256,8000,6000,8316,2095,25.863,4.754,0,,,
Accuracy_capest32_256,8000,7000,8316,1358,25.863,4.754,0,,,
Accuracy_capest32_256,16000,1000,15876,15401,25.863,4.754,0,,,
Accuracy_capest32_256,16000,2000,15876,13804,25.863,4.754,0,,,
Accuracy_capest32_256,16000,3000,15876,12759,25.863,4.754,0,,,
Accuracy_capest32_256,16000,4000,15876,11683,25.863,4.754,0,,,
Accuracy_capest32_256,16000,5000,15876,10750,25.863,4.754,0,,,
Accuracy_capest32_256,16000,6000,15876,9618,25.863,4.754,0,,,
Accuracy_capest32_256,16000,7000,15876,8587,25.863,4.754,0,,,
Accuracy_capest32_256,8000,1000,8316,7841,25.863,4.754,0,,,
Accuracy_capest32_256,8000,2000,8316,6237,25.863,4.754,0,,,
Accuracy_capest32_256,8000,3000,8316,5186,25.863,4.754,0,,,
Accuracy_capest32_256,8000,4000,8316,4156,25.863,4.754,0,,,

Accuracy_capest32_256,8000,1000,7933,6890,25.863,4.754,0,,,
Accuracy_capest32_256,8000,2000,7858,5773,25.863,4.754,0,,,
Accuracy_capest32_256,8000,3000,7858,4738,25.863,4.754,0,,,
