control,4000,1,,,27.911,4.265,0,.021635,0,0
control,6000,1,,,27.928,4.364,0,3.811155,0,0
control,6000,2,,,28.009,4.210,0,5.971300,0,0
control,8000,1,,,25.976,3.043,0,2.949807,0,0
control,8000,2,,,26.873,3.735,0,4.719769,0,0
control,8000,3,,,27.391,5.383,0,5.936225,0,0
control,10000,1,,,26.258,2.917,0,2.353586,0,0
control,10000,2,,,26.191,2.906,0,3.860817,0,0
control,10000,3,,,28.112,5.062,0,4.867755,0,0
control,10000,4,,,27.397,4.007,0,6.290625,.063079,.500000
control,12000,1,,,27.866,9.355,0,2.633044,0,0
control,12000,2,,,28.813,12.686,0,3.082994,0,0
control,12000,3,,,25.893,2.618,0,4.320518,0,0
control,12000,4,,,26.383,3.876,0,5.301139,0,0
control,12000,5,,,25.674,3.418,0,6.359493,6.997901,10.600000
control,14000,1,,,26.400,3.435,0,1.975508,0,0
control,14000,2,,,27.146,5.898,0,2.910638,0,0
control,14000,3,,,26.210,5.085,0,3.645105,0,0
control,14000,4,,,25.709,3.172,0,4.927309,0,0
control,14000,5,,,24.940,3.005,0,5.155159,0,0
control,14000,6,,,25.953,4.037,0,6.708569,23.059294,22.500000
control,16000,1,,,26.097,7.482,0,1.857603,0,0
control,16000,2,,,26.730,4.834,0,2.495481,0,0
control,16000,3,,,25.382,3.259,0,3.297868,0,0
control,16000,4,,,27.123,11.192,0,4.008769,0,0
control,16000,5,,,25.330,3.092,0,5.005554,0,0
control,16000,6,,,25.866,4.883,0,5.745286,.237194,1.000000
control,16000,7,,,25.721,4.028,0,6.772461,32.777914,26.285714
control,4000,1,,,27.407,3.975,0,5.664191,0,0
control,6000,1,,,26.271,3.412,0,3.978163,0,0
control,6000,2,,,28.390,4.643,0,6.066982,0,0
control,8000,1,,,26.171,3.059,0,3.003563,0,0
control,8000,2,,,28.944,14.437,0,4.753143,0,0
control,8000,3,,,26.627,3.649,0,6.291474,0,0
control,10000,1,,,25.439,2.482,0,2.585202,0,0
control,10000,2,,,27.326,4.278,0,3.813052,0,0
control,10000,3,,,26.192,3.385,0,5.026691,0,0
control,10000,4,,,26.642,3.755,0,6.570977,.007298,.250000
control,12000,1,,,25.825,6.592,0,2.025931,0,0
control,12000,2,,,26.557,3.678,0,3.212332,0,0
control,12000,3,,,26.059,3.257,0,5.244693,0,0
control,12000,4,,,26.005,3.341,0,5.134877,0,0
control,12000,5,,,26.857,5.711,0,6.340858,10.427179,14.000000
control,14000,1,,,25.618,2.921,0,1.828298,0,0
control,14000,2,,,25.509,3.286,0,2.633352,0,0
control,14000,3,,,26.009,4.421,0,3.645113,0,0
control,14000,4,,,25.297,2.999,0,4.484141,0,0
control,14000,5,,,25.085,3.437,0,5.418382,0,0
control,14000,6,,,25.425,3.664,0,6.675331,25.187149,24.500000
control,16000,1,,,26.293,2.912,0,1.583390,0,0
control,16000,2,,,25.802,4.765,0,2.473033,0,0
control,16000,3,,,25.693,3.324,0,3.496521,0,0
control,16000,4,,,25.502,3.292,0,4.348022,0,0
control,16000,5,,,26.118,4.767,0,5.258567,0,0
control,16000,6,,,25.620,4.314,0,5.620138,.056862,.500000
control,16000,7,,,27.105,4.987,0,6.650688,31.444672,26.285714
control,4000,1,,,29.401,7.629,0,5.684195,0,0
control,6000,1,,,26.215,3.040,0,3.924654,0,0
control,6000,2,,,28.338,4.109,0,5.949207,0,0
control,8000,1,,,25.957,3.730,0,2.926653,0,0
control,8000,2,,,27.018,4.296,0,5.061102,0,0
control,8000,3,,,26.816,4.295,0,6.266675,0,0
control,10000,1,,,27.423,11.087,0,2.427343,0,0
control,10000,2,,,27.183,10.488,0,3.735228,0,0
control,10000,3,,,26.917,3.742,0,5.244745,0,0
control,10000,4,,,27.709,4.716,0,6.286601,.041735,.500000
control,12000,1,,,27.800,16.024,0,1.991391,0,0
control,12000,2,,,25.811,3.334,0,2.998176,0,0
control,12000,3,,,26.323,3.471,1,4.794277,0,0
control,12000,4,,,25.734,3.745,0,5.773343,0,0
control,12000,5,,,25.407,3.223,0,6.747104,10.227905,13.000000
control,14000,1,,,25.805,3.238,0,1.826092,0,0
control,14000,2,,,25.169,2.959,0,2.661974,0,0
control,14000,3,,,25.931,3.711,0,3.605253,0,0
control,14000,4,,,26.340,4.733,0,4.645537,0,0
control,14000,5,,,24.825,2.865,0,5.592387,0,0
control,14000,6,on,0,25.126,2.889,0,7.619033,26.557143,23.500000
control,16000,1,,,25.492,2.812,0,1.857265,0,0
control,16000,2,,,25.453,3.431,0,2.445266,0,0
control,16000,3,,,25.922,3.439,0,3.093011,0,0
control,16000,4,,,26.323,4.672,0,4.089353,0,0
control,16000,5,,,25.880,3.855,0,5.167874,0,0
control,16000,6,,,25.208,3.561,0,5.706149,.039400,.166666
control,16000,7,,,25.155,4.304,0,6.800775,35.613200,26.714285
control,4000,1,,,28.032,4.899,0,5.427756,0,0
control,6000,1,,,26.682,4.303,0,4.153387,0,0
control,6000,2,,,29.237,3.804,0,6.160782,0,0
control,8000,1,,,26.106,3.630,0,3.147210,0,0
control,8000,2,,,26.299,4.356,0,4.805770,0,0
control,8000,3,,,26.926,3.151,0,6.659851,0,0
control,10000,1,,,26.745,4.677,0,2.623425,0,0
control,10000,2,,,26.032,3.505,0,4.006613,0,0
control,10000,3,,,26.050,3.646,0,4.886499,0,0
control,10000,4,,,26.732,5.598,0,6.235096,.003725,.250000
control,12000,1,,,26.229,3.982,0,2.320583,0,0
control,12000,2,,,36.346,73.846,0,2.911505,0,0
control,12000,3,,,31.033,31.627,0,4.378892,0,0
control,12000,4,,,27.266,4.730,1,5.911099,0,0
control,12000,5,,,25.483,3.132,0,6.841047,6.773433,9.200000
control,14000,1,,,26.043,3.390,0,1.951657,0,0
control,14000,2,,,25.843,3.241,0,2.694008,0,0
control,14000,3,,,26.375,2.973,0,3.783247,0,0
control,14000,4,,,25.792,3.121,0,4.707579,0,0
control,14000,5,,,28.209,17.649,0,5.706088,.119678,.600000
control,14000,6,,,25.219,3.176,0,6.575026,25.962353,24.500000
control,16000,1,,,25.381,3.022,0,1.562051,0,0
control,16000,2,,,26.370,5.258,0,2.376002,0,0
control,16000,3,,,26.963,4.654,0,3.025938,0,0
control,16000,4,,,26.914,10.913,0,3.904712,0,0
control,16000,5,,,25.136,4.356,0,4.994833,0,0
control,16000,6,,,25.527,3.758,0,5.491440,.020330,.333333
control,16000,7,,,26.521,4.362,0,6.910234,31.041137,26.428571
