control,4000,1,,,28.421,4.857,0,.027535,0,0
control,6000,1,,,27.378,5.972,0,3.923554,0,0
control,6000,2,,,28.497,5.820,0,5.952833,0,0
control,8000,1,,,26.148,4.269,0,2.937499,0,0
control,8000,2,,,27.243,6.722,0,4.522101,0,0
control,8000,3,,,27.680,6.805,0,6.162344,0,0
control,10000,1,,,27.003,11.705,0,2.307889,0,0
control,10000,2,,,26.793,5.706,0,3.508736,0,0
control,10000,3,,,27.101,5.351,0,4.729546,0,0
control,10000,4,,,26.945,5.036,0,6.224205,.017794,.250000
control,12000,1,,,26.272,5.527,0,1.910234,0,0
control,12000,2,,,27.181,7.095,0,2.858507,0,0
control,12000,3,,,27.397,11.514,0,4.432759,0,0
control,12000,4,,,28.008,17.462,0,5.476284,0,0
control,12000,5,,,26.411,6.898,0,6.468147,2.520174,6.200000
control,14000,1,,,25.982,5.220,0,1.702911,0,0
control,14000,2,,,26.156,6.129,0,2.616517,0,0
control,14000,3,,,33.623,68.566,0,3.916793,0,0
control,14000,4,,,26.218,4.514,0,4.706582,0,0
control,14000,5,,,25.727,5.575,0,5.435744,0,0
control,14000,6,,,25.423,6.969,0,6.604098,18.916527,19.166666
control,16000,1,,,24.764,2.932,0,1.537073,0,0
control,16000,2,,,25.662,5.043,0,2.400635,0,0
control,16000,3,,,26.139,4.661,0,3.038469,0,0
control,16000,4,,,26.499,4.508,0,4.416697,0,0
control,16000,5,,,25.079,3.606,0,4.792535,0,0
control,16000,6,,,25.516,6.306,0,5.496386,.010553,.333333
control,16000,7,,,25.482,4.350,0,6.750806,33.539015,26.714285
control,4000,1,,,27.488,5.713,0,5.976504,0,0
control,6000,1,,,27.159,6.575,0,3.980330,0,0
control,6000,2,,,29.103,8.797,0,6.115271,0,0
control,8000,1,,,26.692,9.672,0,3.405287,0,0
control,8000,2,,,26.942,6.643,0,4.814595,0,0
control,8000,3,,,30.204,33.588,0,6.058845,0,0
control,10000,1,,,26.014,3.558,0,2.322691,0,0
control,10000,2,,,27.053,8.450,0,3.606490,0,0
control,10000,3,,,27.025,9.295,0,5.359995,0,0
control,10000,4,,,27.293,7.260,0,5.921732,0,0
control,12000,1,,,26.278,7.025,0,1.957977,0,0
control,12000,2,,,26.555,5.980,0,3.162423,0,0
control,12000,3,,,26.463,5.715,0,4.032657,0,0
control,12000,4,,,26.025,4.147,0,5.173200,0,0
control,12000,5,,,26.980,11.455,0,7.034261,7.408955,12.800000
control,14000,1,,,27.489,9.525,0,1.688708,0,0
control,14000,2,,,26.404,5.299,0,2.628961,0,0
control,14000,3,,,26.334,4.026,0,3.457037,0,0
control,14000,4,,,26.821,8.962,0,4.474419,0,0
control,14000,5,,,25.411,3.761,0,5.637281,0,0
control,14000,6,,,26.009,6.809,0,6.291224,17.957043,21.166666
control,16000,1,,,25.874,4.416,0,1.491010,0,0
control,16000,2,,,26.400,4.950,0,2.400050,0,0
control,16000,3,,,26.617,7.137,0,2.919885,0,0
control,16000,4,,,25.806,3.947,0,4.001995,0,0
control,16000,5,,,25.204,4.393,0,4.622566,0,0
control,16000,6,,,25.700,5.561,0,5.853022,.037095,.333333
control,16000,7,,,25.831,4.493,0,7.253602,39.753053,25.857142
